"V_GENE"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IGKV5-43"	-3.62874493951453	12.5613916087279	-6.59553417916813	1.55693497918656e-06	0.000191503002439947	5.3329114163931
"IGKV4-86"	2.20321874257838	11.1300945018828	4.30268201237724	0.000314209748943968	0.0130415449813408	0.156598180602053
"IGKV4-57-1"	1.66096006515159	14.3731278279082	4.29755749114861	0.000318086462959532	0.0130415449813408	0.039428148854542
"IGKV4-61"	2.12710300759403	9.85169903551839	4.09584485375532	0.000515452583640006	0.0149641451611224	-0.272477540842763
"IGKV6-15"	-1.13766790652646	12.4756718895126	-3.97488533465675	0.00068835449094243	0.0149641451611224	-0.636340617880133
"IGKV3-7"	-1.83408799004602	3.28793803834456	-3.79594475499067	0.00105506103037442	0.0149641451611224	-0.87730875323673
"IGKV8-30"	1.30619988908028	12.0292426449651	3.85126220601913	0.000924713555043076	0.0149641451611224	-0.892866403755469
"IGKV5-39"	-1.80259006374209	14.415317618488	-3.86451628782404	0.000895933298550279	0.0149641451611224	-0.998832452031667
"IGKV4-63"	1.34695114672073	11.1829864118353	3.7803702966856	0.00109493745081384	0.0149641451611224	-1.02148853580549
"IGKV10-94"	-0.862553245912984	11.0585294110848	-3.60799713995165	0.00164913104726051	0.0202843118813043	-1.40880497415787
"IGKV6-20"	-1.96299726959364	2.00170288071509	-3.50474656538394	0.00210525133033855	0.0235405376028765	-1.50836667059698
"IGHV1S75"	-1.36489040885976	-1.75217242632347	-3.20235897154182	0.00427471026576935	0.0438157802241358	-2.17547542171732
"IGKV16-104"	-1.17574823510024	6.87058642026909	-3.06095960977344	0.00592609249044852	0.056069952025013	-2.59627816507174
"IGKV4-72"	0.999151299779747	7.90894980014906	2.95600233972992	0.00753450614587407	0.0617829503961674	-2.80120552617839
"IGKV3-2"	0.839545417998597	13.3746283580592	2.99493232426569	0.00689417569250127	0.0605702578698326	-2.89913009618746
"IGKV7-33"	2.8829770206371	7.43830382651453	2.72544885005062	0.0126631798422416	0.0973481950372322	-3.27700546235789
"IGKV4-69"	1.02196751429067	7.30343111731287	2.59537687667795	0.0168745568812118	0.103778524819453	-3.55111610764187
"IGKV4-91"	1.41794217482711	12.2044336495504	2.64477241243798	0.0151396402982005	0.103778524819453	-3.5631922157567
"IGKV3-1"	-1.22282998032541	12.5214031053692	-2.64173578231226	0.0152412500937479	0.103778524819453	-3.59023217498092
"IGKV5-37"	-1.49725924327427	8.9010708120134	-2.54869127505411	0.0186847284482595	0.109439123768377	-3.63532818737051
"IGKV18-36"	-1.05109846075314	-1.75217242632347	-2.39902986543446	0.0257877659371186	0.132162300427733	-3.82288394625256
"IGKV17-127"	0.839241783792705	11.8416257896765	2.48459505958809	0.0214677536570134	0.114805813035332	-3.85704927253025
"IGKV4-50"	-1.39243798427	12.8764309906646	-2.50484416773667	0.02054922996311	0.114805813035332	-3.87084672334844
"IGHV1S65"	-1.04881789879011	-1.83142055135952	-2.33123906663601	0.0297683278741552	0.134398994751378	-3.95327507675794
"IGHV13-1"	-1.04881789879012	-1.83142055135952	-2.33099684780151	0.0297835156133	0.134398994751378	-3.95372952586911
"IGHV9-2"	-1.05514697444544	-1.75217242632347	-2.31239474639905	0.0309714671994012	0.134398994751378	-3.98636973001761
"IGLV1"	-0.715902445848812	18.8522882370316	-2.61876345189203	0.0160310357346355	0.103778524819453	-4.03366526623699
"IGHV3-3"	-1.04881789879011	-1.83142055135952	-2.24867540558975	0.0353784603872562	0.134398994751378	-4.1065758447973
"IGKV20-101-2"	-1.04881789879012	-1.79457227165121	-2.2395011166307	0.0360582668845162	0.134398994751378	-4.12340747038627
"IGKV4-51"	0.878451414575862	9.11757955170949	2.27702478483962	0.033351227064136	0.134398994751378	-4.16003666167891
"IGKV1-117"	0.79011356976488	12.7441567278105	2.33062650786963	0.0298067506774722	0.134398994751378	-4.22450964244111
"IGKV14-100"	0.563364163292388	11.2448992813612	2.27524637140768	0.033475200655879	0.134398994751378	-4.24420611451132
"IGKV4-70"	1.27257073798025	9.91140515954273	2.22149758802945	0.0374271170341206	0.13539809985873	-4.2768331358118
"IGKV1-132"	1.17028947475052	8.78772113284499	2.14694240711275	0.0436141991964616	0.153272757176137	-4.40093428178783
"IGHV15-2"	-1.04278841252652	-1.59367617625135	-2.07521822248927	0.0504256723649635	0.160533592974443	-4.41529533690557
"IGHV1S31"	-1.04881789879011	-1.75217242632347	-2.07054639610692	0.0509008953333601	0.160533592974443	-4.42570381553231
"IGLV3"	0.796670299509104	14.8732031153216	2.248832314215	0.0353669362195294	0.134398994751378	-4.46991774100538
"IGKV6-14"	1.14555159666077	6.67602903044476	2.07925145574603	0.0500186172849071	0.160533592974443	-4.52783511502569
"IGKV14-111"	0.832532814781526	12.4989408560915	2.09195814603086	0.0487554307331745	0.160533592974443	-4.63480346750651
"IGKV3-12"	-0.69220345792128	4.7210159499083	-1.9959655782022	0.0590503495823651	0.181579824965773	-4.65803885251193
"IGKV4-74"	0.638303760261829	10.4135307664648	1.87557115993881	0.0746670506913379	0.224001152074014	-4.88588125569483
"IGKV1-131"	0.649959922961852	5.52071202893286	1.74605341126056	0.0953954913531904	0.279372510391486	-5.08334103211333
"IGKV6-c"	-0.731424231372893	-1.75217242632347	-1.60099489741257	0.124294288873436	0.32528079854112	-5.17756222508524
"IGKV9-129"	0.634896974211335	8.87235718403551	1.63193292204943	0.117579255638916	0.325087944849424	-5.24464237216516
"IGHV1S44"	-0.7266266269631	-1.83142055135952	-1.55357479371898	0.135207055849837	0.346468080615207	-5.24554704513073
"IGKV1-122"	1.17772328346562	10.3968657601209	1.62557103685177	0.118934613969301	0.325087944849424	-5.28906229920502
"IGKV3-10"	0.818164056545664	11.9750875859143	1.61247635502878	0.121765700637724	0.32528079854112	-5.37913864755315
"IGKV8-24"	-0.580757472803171	12.35531813477	-1.62565404526767	0.118916845359558	0.325087944849424	-5.381160936413
"IGKV4-81"	0.620788554270705	8.72940594611593	1.51500463826651	0.144658350636386	0.363121982209704	-5.41248325436826
"IGHV10-1"	-0.726194877302218	-1.75217242632347	-1.38163112490244	0.181588501079914	0.437948737898616	-5.47825591230152
"IGKV8-16"	-1.20321308360775	0.458490690195828	-1.32543792727345	0.199246175565205	0.459957959375739	-5.54358282422737
"IGKV8-21"	1.17452207474673	9.20384607922189	1.33301740006472	0.196788622658569	0.459957959375739	-5.66230977981188
"IGKV6-32"	0.75265438205522	5.14779551475064	1.31723543311445	0.201932762652763	0.459957959375739	-5.67049298573421
"IGKV12-98"	-0.496051213123534	4.43265968906391	-1.16227168975417	0.258146335015139	0.557052617664248	-5.81198396102712
"IGKV9-123"	-0.754552193628771	-0.889647789655754	-1.08270684899652	0.291197493465423	0.571866646960697	-5.8214629703179
"IGHV3S1"	-0.578278730218844	-1.71532414661516	-1.08096402434738	0.291954239126328	0.571866646960697	-5.82867473510308
"IGKV6-b"	-0.557276191268948	0.255866733694146	-1.0693105903492	0.297050656392896	0.571866646960697	-5.83501594770429
"IGKV4-78"	0.382392177101138	8.12327088078807	1.18208410958687	0.250366720803746	0.556652982675645	-5.84443109490492
"IGKV2-137"	1.10647935111819	0.220776506466998	1.05766750360264	0.302205951645897	0.571866646960697	-5.84899819940731
"IGKV3-4"	0.520521833211806	13.833932518493	1.3816988315066	0.181568000925494	0.437948737898616	-5.85886891541123
"IGKV4-71"	0.442437371841182	5.53575089962367	1.11267908648157	0.278404310226433	0.570728835964188	-5.91222755139194
"IGKV3-3"	-0.493196575031858	9.75375535472598	-1.11439171850569	0.277685874745747	0.570728835964188	-5.92393219985232
"IGKV19-93"	0.345193497817569	11.9849662150826	1.17421466072145	0.253435504307611	0.556652982675645	-5.96732645605616
"IGHV12-2-1"	-0.488903799636493	-1.53255655518453	-0.939180645568873	0.358301067699954	0.61833216168653	-5.96733737117503
"IGKV5-48"	0.45686550316529	9.84674480105996	1.06398343498099	0.299401525609669	0.571866646960697	-5.96825511520142
"IGKV1-88"	1.05206288300833	1.34401282231557	0.939094550947977	0.358344241630522	0.61833216168653	-5.97235856819808
"IGHV9-2-1"	-0.417128297227289	-1.51442805121529	-0.850264392988188	0.404755248742347	0.663798607937449	-6.04298777021495
"IGKV12-44"	-0.353317444301731	6.63093047722327	-1.01085947144136	0.323573966826637	0.585288204701123	-6.04560624389132
"IGKV4-53"	0.5005905734089	12.5677334741816	1.13653828842979	0.268517355132622	0.569441977264008	-6.05284389756717
"IGKV2-a"	-0.436471250369629	-1.44073149179867	-0.812847620287696	0.425412653061466	0.664091965282866	-6.0737191740795
"IGHV1-9"	-0.707889435474535	-0.0138950116139064	-0.805376106744745	0.429615468521668	0.664091965282866	-6.07553417351832
"IGKV2-112"	-0.41626874616698	-1.6360760215791	-0.800945141620444	0.432120120714347	0.664091965282866	-6.08530653601655
"IGKV6-29"	-0.41626874616698	-1.55682789654304	-0.796256282767219	0.434780407774203	0.664091965282866	-6.08900915483922
"IGHV1S37"	-0.366125182391823	2.07840486450917	-0.766618704480473	0.451829053287442	0.676817437454557	-6.10918688123917
"IGKV4-92"	-0.544110738960265	7.35983459261094	-0.922016772140736	0.366977624415583	0.61833216168653	-6.12553197542583
"IGKV8-18"	0.345171735963401	10.6867575776035	0.933355880344483	0.36122992974578	0.61833216168653	-6.12729486335827
"IGKV12-46"	-0.264527126207471	7.6980688763374	-0.856078822609601	0.401603808060452	0.663798607937449	-6.17010558113191
"IGKV8-34"	0.980630850809153	5.89238741096269	0.804144238608156	0.430310886330486	0.664091965282866	-6.19942482001034
"IGKV12-41"	0.528964373642772	6.72903781935779	0.791781180510592	0.437328855186277	0.664091965282866	-6.23200029745982
"IGKV6-d"	0.288504947918523	-1.3372120254041	0.576149574381713	0.570629534876834	0.771290470218138	-6.23741895475076
