"V_GENE"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IGKV5-43"	-5.02049340154358	12.5613916087279	-9.5925875791176	3.94053856218521e-09	4.84686243148781e-07	11.1473773660044
"IGKV6-15"	-2.04192986458733	12.4756718895126	-7.0891431225979	5.35876255677339e-07	3.29563897241563e-05	6.2658933132685
"IGLV3"	2.01104413016054	14.8732031153216	6.06599874545404	5.06110405043286e-06	0.000207505266067747	3.87914608647059
"IGKV4-57-1"	1.6106265506544	14.3731278279082	4.37126387092732	0.000266662002583123	0.00803331619930886	-0.0443883389233477
"IGKV3-1"	-2.02339142055852	12.5214031053692	-4.28657410279027	0.000326557569077596	0.00803331619930886	-0.110705737246232
"IGKV5-39"	-1.80028652850386	14.415317618488	-3.8656387494318	0.000893537169395187	0.0183175119726013	-1.22733610413755
"IGKV17-121"	1.02571499389416	12.1197707574392	3.4085273263891	0.00264067332185537	0.0464004026554586	-2.13636196271228
"IGKV16-104"	-1.18190399147651	6.87058642026909	-3.09882295041911	0.00543158807499238	0.0805858727419057	-2.7459391290437
"IGKV1-135"	0.862807117801676	14.597021253665	3.06313601375501	0.00589652727379798	0.0805858727419057	-3.05694933505419
"IGKV9-120"	-1.80012782608204	12.6013440187514	-2.99946404928794	0.00682313134169076	0.0839245155027964	-3.09234562590236
"IGKV7-33"	2.89797906088163	7.43830382651453	2.77869073619209	0.0112447741296994	0.125737019813912	-3.41081357278453
"IGKV14-126"	-1.20085160723531	10.3299646598263	-2.63282462208858	0.0155431563759338	0.159317352853322	-3.71746643973438
"IGKV12-46"	-0.748497979503654	7.6980688763374	-2.42652395786295	0.024318653073443	0.210199632004547	-4.12487097786001
"IGKV5-37"	-1.42763907591301	8.9010708120134	-2.40689572000956	0.0253592709777259	0.210199632004547	-4.14332361848725
"IGKV1-133"	1.73226708147655	9.92367970895164	2.40183664341678	0.0256341014639691	0.210199632004547	-4.16838051898444
"IGKV20-101-2"	-1.09278511812105	-1.79457227165121	-2.33511904698495	0.0295260140616355	0.226981233098823	-4.18011487295115
"IGHV1S75"	-0.946527347835834	-1.75217242632347	-2.22730910624961	0.0369801555343555	0.242940862241587	-4.38334024183997
"IGKV6-20"	-1.22722227999711	2.00170288071509	-2.19635552590337	0.0394180905620789	0.242940862241587	-4.43557894913175
"IGKV14-130"	-0.882363017781019	9.43175079481875	-2.19531438561089	0.0395025792262743	0.242940862241587	-4.54119365609407
"IGHV13-1"	-0.949219604926399	-1.83142055135952	-2.11289577685574	0.0467365267226168	0.262150650149199	-4.59178697045592
"IGKV3-2"	0.646234350471994	13.3746283580592	2.26693746216917	0.0340600336332152	0.242940862241587	-4.61321944592802
"IGKV6-c"	-0.946095817979156	-1.75217242632347	-2.07664894301899	0.0502809371833943	0.268893707545978	-4.65635853926202
"IGKV13-84"	1.24414962217067	1.05283223570819	1.99003619689867	0.0597456355919643	0.282642814531216	-4.8000268137337
"IGKV4-53"	0.958015118863868	12.5677334741816	2.11128913108803	0.0468887341730274	0.262150650149199	-4.840806433587
"IGHV9-2-1"	-0.948320511102675	-1.51442805121529	-1.94556236713409	0.0651966909181523	0.297007147516027	-4.88365481534899
"IGKV9-124"	-0.938337657509122	11.5102051792079	-2.01848992387557	0.0564743175710083	0.277853642449361	-4.93113619317269
"IGKV8-19"	0.50368971477484	12.9347942327675	2.02767056999368	0.055453443936781	0.277853642449361	-5.02480953744846
"IGKV14-100"	0.494382514310796	11.2448992813612	1.90668528182396	0.0703173145991915	0.300082987481286	-5.10680409835271
"IGKV4-52"	-1.5271564443831	8.39003980810148	-1.87243966143623	0.075117627575124	0.307982273058008	-5.10849310045268
"IGHV10-1"	-0.946095817979156	-1.75217242632347	-1.80501746701114	0.0854117632350255	0.314882850723094	-5.11586411681869
"IGHV3S1"	-0.946095817979155	-1.71532414661516	-1.77475035448898	0.0904176109661035	0.314882850723094	-5.16422953896934
"IGKV3-5"	0.908206903027303	12.8382798398453	1.90350636430883	0.0707512734711975	0.300082987481286	-5.19127166212721
"IGKV6-23"	0.748220519471354	7.42589763509346	1.82675274335247	0.0819667964445804	0.314882850723094	-5.2256093121216
"IGKV4-71"	0.693390518939634	5.53575089962367	1.78166761926699	0.0892517677155272	0.314882850723094	-5.28664232303572
"IGKV8-24"	-0.643855562825259	12.35531813477	-1.83459186885148	0.0807542991394683	0.314882850723094	-5.32785951882892
"IGKV4-62"	-1.70642422714669	11.8575346582448	-1.74986604527148	0.0947208575345892	0.314882850723094	-5.38275109525655
"IGKV1-131"	0.622284931661591	5.52071202893286	1.64418780918625	0.115005054857489	0.362708249935158	-5.47679557668708
"IGKV4-50"	-0.962559793565783	12.8764309906646	-1.76299110165181	0.0924296804614085	0.314882850723094	-5.47794914100133
"IGKV5-48"	-0.697080132216247	9.84674480105996	-1.62496473670769	0.119064465007286	0.366123229897404	-5.51402785322023
"IGKV8-27"	0.656205563002434	4.8848572851664	1.55615684996358	0.134593033465095	0.403779100395284	-5.58083309798602
"IGKV3-4"	0.679067613537915	13.833932518493	1.70007883782898	0.103860394974362	0.336179699522278	-5.60682567368475
"IGHV9-1"	-1.22454064928528	0.598201167495862	-1.46663675031927	0.157270527788535	0.420527715608475	-5.60916717345436
"IGKV18-36"	-0.630375343480743	-1.75217242632347	-1.44732151311225	0.162550797529056	0.425398895661147	-5.64870468100932
"IGKV8-34"	1.79612753793964	5.89238741096269	1.49305932935286	0.150274008703285	0.414838796530358	-5.70916727138496
